genes	geneCluster
Aurka	10
Ncaph	10
Asf1b	10
Hist1h4h	10
Dtl	10
Incenp	10
Kif4	10
Tacc3	10
Lockd	10
Kif20b	10
Neil3	10
Pole	10
E2f8	10
Gmnn	10
Cenpw	10
Rrm1	10
Prr11	10
Dhfr	10
Hist1h4c	10
Knstrn	10
Ckap2	10
Rad51ap1	10
Cep55	10
Dlgap5	10
Kif22	10
Sgo1	10
Ncapg	10
Cit	10
Cenpm	10
Mcm3	10
Ccdc34	10
Melk	10
Mis18bp1	10
Cdca2	10
Plk4	10
Ncapd2	10
Bub1	10
Shcbp1	10
Ezh2	10
Kifc1	10
Ncapg2	10
Dnajc9	10
Hist1h2be	10
Dnmt1	10
Dctpp1	10
Cip2a	10
Dbf4	10
Lgals7	11
Atp1b1	11
Dmkn	11
Igfbp3	11
Gm20186	11
Cacnb3	11
Prr15	11
Epcam	11
Fmo2	11
Igfbp5	11
Serpinb6b	11
Serpinb1a	11
Hpgd	11
Gsta4	11
Spint2	11
Pdlim3	11
Tm4sf5	11
Aldh1a2	11
F830016B08Rik	11
Rspo1	11
Il18r1	11
Npnt	11
Aldh1a1	11
Adgrd1	11
Slc39a8	11
Mapk13	11
Bcam	11
Gstt1	11
Flrt2	11
Cfb	11
Tkfc	11
Rab27b	11
Cmah	11
Rtn1	11
Cd55	11
Sema5a	11
Sbsn	11
Ano1	11
Ackr3	11
Phgdh	11
Espn	11
Plxna4	11
Myo1d	11
Rian	11
Nrxn2	11
Wnt4	11
Smpd3	11
Nnmt	11
Rdh10	11
Tcea3	11
Nbl1	11
Ptprf	11
4932438H23Rik	11
Abcb1b	11
Foxf1	11
Fzd2	11
Dpp4	11
Smim1	11
Stard10	11
Stk26	11
Rhou	11
Klhl23	11
Kiz	11
Abi3bp	11
Hoxa5	11
Slc16a1	11
Efna5	11
Irak1bp1	11
Avpi1	11
Cdon	11
Tob1	11
Lrba	11
Syne2	11
Cers4	11
Ptpn13	11
Rpap3	11
Spock2	11
Runx1t1	11
Il18	11
Ar	11
Zfp503	11
Entpd5	11
Lrrc1	11
Perp	11
Fcor	11
Met	11
Bicd1	11
Alad	11
Selenoi	11
Nectin2	11
Il17re	11
Ncoa4	11
Neo1	11
Tmem132a	11
Mpp6	11
Ppfibp2	11
Dcbld2	11
Rorc	11
Mras	11
Tln2	11
Ctdspl	11
Cobll1	11
Aplp1	11
Gstp1	11
Cox6b2	11
Krtcap3	11
Tst	11
Rab6b	11
Lsr	11
Cc2d2a	11
Slc39a4	11
Mgst3	12
Mylk	12
Fkbp11	12
Cpe	12
Meg3	12
Eln	12
Serpina3n	12
Gem	12
Sulf1	12
Steap4	12
Chchd10	12
Cystm1	12
Creb3l1	12
Rasl11a	12
Col5a3	12
Rhoj	12
Ugdh	12
Sox4	12
Gpx8	12
Wnt5a	12
Tnxb	12
Emp2	12
Grb10	12
Pcdh7	12
Lamc1	12
Fkbp10	12
Palld	12
Slit3	12
