gene	cluster
dchs1a	7
tnni2b.2	7
pfkfb3	7
smad6b	7
gria3a	7
arhgap29a	7
tacr1a	7
acot19	7
si:dkey-96g2.1	7
camk2d1	7
BX005443.1	7
adgrl1a	7
camk1gb	7
ntrk1	7
pde4cb	7
CABZ01044099.1	7
plxna2	7
CR384099.1	7
dgat2	7
ntsr1	7
si:dkey-219e21.2	7
sv2bb	7
si:ch211-186j3.6	7
cdx1b	7
CABZ01029822.1	7
necab3	7
calb1	7
uncx	7
kiss1ra	7
arrb1	7
arhgap20b	7
fras1	7
grin2aa	7
spega	7
ext1b	7
tub	7
man2a1	7
si:ch211-62a1.3	7
ecscr	7
trps1	7
BX547928.1	7
g6pca.2	7
osbpl3b	7
rims3	7
nlgn1	7
mctp1a	7
kcnh3	7
klhdc8b	7
xkr6b	7
pou2f2a.1	7
qkib	7
dysf	7
apoea	7
fam13a	7
vtg1	7
aldh2.1	7
si:ch211-39a7.1	7
enpp7.1	7
cacna1i	7
aste1a	7
clcn5b	7
lmx1bb	7
RUNDC1	7
slc26a3.2	7
col2a1a	8
epcam	8
si:ch211-153b23.5	8
krt4	8
col9a2	8
col9a1a	8
rgs5b	8
her7	8
col9a3	8
lmo1	8
aldob	8
ebf3a	8
col11a1a	8
stc2a	8
mia	8
tgm2l	8
col11a2	8
zic2b	8
myl9a	8
cthrc1a	8
tgfb3	8
pcolce2b	8
igf2a	8
fsta	8
fn1b	8
ftr82	8
fgfbp2b	8
hspb8	8
BX465834.1	8
alx4a	8
cldn7a	8
thbs1b	8
msx3	8
ptgs2b	8
hbegfa	8
clic2	8
epyc	8
zic2a	8
nog3	8
hoxd12a	8
klf2b	8
si:ch211-156j16.1	8
bag3	8
f13a1b	8
fkbp11	8
capgb	8
matn1	8
nog2	8
col15a1b	8
lipg	8
sb:cb1058	8
epha2a	8
prkcdb	8
crip2	8
atp1a1b	8
si:dkey-19b23.8	8
egfra	8
fhl3b	8
hoxd13a	8
smad9	8
hapln1a	8
hoxa13b	8
loxl2a	8
efna1b	8
cpm	8
wif1	8
fhl1b	8
igfbp3	8
si:dkey-164f24.2	8
gcnt4a	8
col8a2	8
f2rl2	8
mgat4b	8
foxa3	8
sema3d	8
ppp1r1c	8
si:dkey-6n6.1	8
plk3	8
cavin2b	8
txnipa	8
si:ch211-1a19.3	8
fosaa	8
msi2b	8
pdlim5a	8
abtb2a	8
tnxba	8
ano1	8
spns2	8
gyg1b	8
cdh18a	8
tagln2	8
zgc:112332	8
hoxa10b	8
hoxa9b	8
ucmab	8
